_id,genre,id_artist,name,publicationDate,title,urlAlbum,id_album_deezer,deezerFans,language
ObjectId(5714debb25ac0d8aee34d8bf),Pop,ObjectId(56d7eabb26a8a3040c6869ac),Aaron Carter,2000,Aaron's Party (Come Get It),http://lyrics.wikia.com/Aaron_Carter:Aaron%27s_Party_%28Come_Get_It%29_%282000%29,1208831.0,335,eng
ObjectId(5714debb25ac0d8aee34d8c0),Teen Pop,ObjectId(56d7eabb26a8a3040c6869ac),Aaron Carter,2001,Oh Aaron,http://lyrics.wikia.com/Aaron_Carter:Oh_Aaron_%282001%29,1210452.0,289,eng
ObjectId(5714debb25ac0d8aee34d8c1),Teen Pop,ObjectId(56d7eabb26a8a3040c6869ac),Aaron Carter,2002,Another Earthquake!,http://lyrics.wikia.com/Aaron_Carter:Another_Earthquake%21_%282002%29,78723.0,537,eng
ObjectId(5714debb25ac0d8aee34d8c2),Teen Pop,ObjectId(56d7eabb26a8a3040c6869ac),Aaron Carter,2003,Most Requested Hits,http://lyrics.wikia.com/Aaron_Carter:Most_Requested_Hits_%282003%29,78723.0,537,eng
ObjectId(5714debb25ac0d8aee34d8dc),Country,ObjectId(56d7eabf26a8a3040c6869bd),Aaron Lewis,2011,Town Line,http://lyrics.wikia.com/Aaron_Lewis:Town_Line_%282011%29,15621200.0,40,eng
ObjectId(5714debb25ac0d8aee34d8dd),Country,ObjectId(56d7eabf26a8a3040c6869bd),Aaron Lewis,2012,The Road,http://lyrics.wikia.com/Aaron_Lewis:The_Road_%282012%29,6050635.0,401,eng
ObjectId(5714debb25ac0d8aee34df4d),Soul,ObjectId(56d7eedc56847be81b3e8b60),Adele,2008,19,http://lyrics.wikia.com/Adele:19_%282008%29,105781.0,103533,eng
ObjectId(5714debb25ac0d8aee34df51),Soul,ObjectId(56d7eedc56847be81b3e8b60),Adele,2012,Skyfall,http://lyrics.wikia.com/Adele:Skyfall_%282012%29,11259262.0,66197,eng
ObjectId(5714debb25ac0d8aee34e38e),Folk,ObjectId(56d7efc456847be81b3e8d10),Agnes Obel,2010,Philharmonics,http://lyrics.wikia.com/Agnes_Obel:Philharmonics_%282010%29,650084.0,67980,eng
ObjectId(5714debb25ac0d8aee34e38f),Folk,ObjectId(56d7efc456847be81b3e8d10),Agnes Obel,2013,Aventine,http://lyrics.wikia.com/Agnes_Obel:Aventine_%282013%29,6982745.0,78972,eng
ObjectId(5714debb25ac0d8aee34e43a),Hip Hop,ObjectId(56d7effb56847be81b3e8d5a),Ahmad,1993,Ahmad,http://lyrics.wikia.com/Ahmad:Ahmad_%281993%29,1345651.0,26,eng
ObjectId(5714debb25ac0d8aee34e738),Folk,ObjectId(56d7f0c156847be81b3e8e74),Al Stewart,1970,Zero She Flies,http://lyrics.wikia.com/Al_Stewart:Zero_She_Flies_%281970%29,425236.0,170,eng
ObjectId(5714debb25ac0d8aee34e739),Progressive Rock,ObjectId(56d7f0c156847be81b3e8e74),Al Stewart,1972,Orange,http://lyrics.wikia.com/Al_Stewart:Orange_%281972%29,682582.0,117,eng
