genre,name,title,id_album_deezer,deezerFans
Rock,A Beautiful Silence,Broken Hearts And Lessons Learned,6543058.0,0.0
Emo,A Beautiful Silence,My Own Windy City,7605277.0,0.0
Deathcore,A Breath Before Surfacing,Death Is Swallowed In Victory,740695.0,20.0
MPB,A Cor Do Som,Geração Pop,1494944.0,1045.0
MPB,A Cor Do Som,Mudança De Estação,1220665.0,330.0
MPB,A Cor Do Som,E- Collection,1494944.0,1045.0
MPB,A Cor Do Som,Acústico,1220665.0,330.0
MPB,A Cor Do Som,Nova Série,1220665.0,330.0
MPB,A Cor Do Som,Warner 30 Anos,1494878.0,219.0
Metalcore,A Day To Remember,What Separates Me From You,1266905.0,27704.0
Metalcore,A Day To Remember,Common Courtesy,7113610.0,16084.0
Rock,A Death For Every Sin,In A Time Where Hope Is Lost,298831.0,5.0
Deathcore,A Different Breed Of Killer,"I, Colossus",520973.0,30.0
Pop,A Fine Frenzy,Demo Sampler,303269.0,6091.0
Pop,A Fine Frenzy,One Cell In The Sea,303269.0,6091.0
Pop,A Fine Frenzy,Bomb In A Birdcage,374119.0,2784.0
Pop,A Fine Frenzy,Pines,5983728.0,89.0
Pop,A Flock Of Seagulls,Modern Love Is Automatic,1254230.0,510.0
Europop,A Fúria Do Açúcar,O Maravilhoso Mundo Do Acrílico,430508.0,12.0
Pop,A Great Big World,Is There Anybody Out There?,7310283.0,13846.0
Metalcore,A Life Once Lost,Open Your Mouth For The Speechless...In Case Of Those Appointed To Die,1003709.0,31.0
Metalcore,A Life Once Lost,A Great Artist,93386.0,55.0
Metalcore,A Life Once Lost,Hunter,101942.0,94.0
Metalcore,A Life Once Lost,The Fourth Plague: Flies,1003711.0,10.0
Metalcore,A Love Ends Suicide,The Cycle Of Hope,203919.0,17.0
Metalcore,A Love Ends Suicide,In The Disaster,6958331.0,8.0
Rock,A Long Winter,Breathing Underwater,1196460.0,1.0
Rock,A Long Winter,I'm So Bad With Goodbyes...,1194765.0,1.0
Metalcore,A New Challenger Approaches,Dead Inside,8234378.0,3.0
Deathcore,A Night In Texas,Invigoration,6720788.0,156.0
Deathcore,A Night In Texas,The God Delusion,9716496.0,317.0
Emo,A Perfect Kiss,In Spite Of Angels,10767532.0,0.0
Metalcore,A Perfect Murder,Unbroken,1276712.0,31.0
Metalcore,A Plea For Purging,A Plea For Purging,7634055.0,9.0
Metalcore,A Plea For Purging,Quick Is The Word; Steady Is The Action,6755907.0,13.0
Metalcore,A Plea For Purging,A Critique Of Mind And Thought,1052808.0,49.0
Metalcore,A Plea For Purging,Depravity,1052813.0,77.0
Metalcore,A Plea For Purging,The Marriage Of Heaven And Hell,1052930.0,88.0
Deathcore,A Red Dawn,The Need To Defy,6429304.0,0.0
Rock,A Rose By Any Other Name,One For My Master And One For My Dame,7678968.0,5.0
Rock,A Sound Mind,Harmonia,14944413.0,4.0
EBM,A Split-Second,Ballistic Statues,320209.0,172.0
EBM,A Split-Second,...From The Inside,320209.0,172.0
Synthpop,A Spell Inside,Vitalizer,459833.0,7.0
